2026-05-19 10:03:01 | WARNING  | main | ⚠️ Tentative 1/3 échouée pour https://books.toscrape.com/catalogue/the-lonely-ones_261/index.html. Erreur: HTTPSConnectionPool(host='books.toscrape.com', port=443): Read timed out. (read timeout=10)
2026-05-19 10:03:13 | WARNING  | main | ⚠️ Tentative 2/3 échouée pour https://books.toscrape.com/catalogue/the-lonely-ones_261/index.html. Erreur: HTTPSConnectionPool(host='books.toscrape.com', port=443): Max retries exceeded with url: /catalogue/the-lonely-ones_261/index.html (Caused by ConnectTimeoutError(<HTTPSConnection(host='books.toscrape.com', port=443) at 0xffff9ecf2490>, 'Connection to books.toscrape.com timed out. (connect timeout=10)'))
2026-05-19 10:03:15 | WARNING  | main | ⚠️ Tentative 3/3 échouée pour https://books.toscrape.com/catalogue/the-lonely-ones_261/index.html. Erreur: HTTPSConnectionPool(host='books.toscrape.com', port=443): Max retries exceeded with url: /catalogue/the-lonely-ones_261/index.html (Caused by NameResolutionError("HTTPSConnection(host='books.toscrape.com', port=443): Failed to resolve 'books.toscrape.com' ([Errno -2] Name or service not known)"))
2026-05-19 10:03:17 | WARNING  | main | ⚠️ Tentative 1/3 échouée pour https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html. Erreur: HTTPSConnectionPool(host='books.toscrape.com', port=443): Max retries exceeded with url: /catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html (Caused by NameResolutionError("HTTPSConnection(host='books.toscrape.com', port=443): Failed to resolve 'books.toscrape.com' ([Errno -2] Name or service not known)"))
2026-05-19 10:03:37 | WARNING  | main | ⚠️ Tentative 1/3 échouée pour https://books.toscrape.com/catalogue/the-raven-king-the-raven-cycle-4_412/index.html. Erreur: HTTPSConnectionPool(host='books.toscrape.com', port=443): Max retries exceeded with url: /catalogue/the-raven-king-the-raven-cycle-4_412/index.html (Caused by ConnectTimeoutError(<HTTPSConnection(host='books.toscrape.com', port=443) at 0xffff9f23e250>, 'Connection to books.toscrape.com timed out. (connect timeout=10)'))
2026-05-19 10:03:46 | WARNING  | main | ⚠️ Tentative 2/3 échouée pour https://books.toscrape.com/catalogue/the-raven-king-the-raven-cycle-4_412/index.html. Erreur: HTTPSConnectionPool(host='books.toscrape.com', port=443): Max retries exceeded with url: /catalogue/the-raven-king-the-raven-cycle-4_412/index.html (Caused by NameResolutionError("HTTPSConnection(host='books.toscrape.com', port=443): Failed to resolve 'books.toscrape.com' ([Errno -5] No address associated with hostname)"))
2026-05-19 10:03:58 | WARNING  | main | ⚠️ Tentative 3/3 échouée pour https://books.toscrape.com/catalogue/the-raven-king-the-raven-cycle-4_412/index.html. Erreur: HTTPSConnectionPool(host='books.toscrape.com', port=443): Read timed out. (read timeout=10)
2026-05-19 10:04:10 | WARNING  | main | ⚠️ Tentative 1/3 échouée pour https://books.toscrape.com/catalogue/girlboss_113/index.html. Erreur: HTTPSConnectionPool(host='books.toscrape.com', port=443): Read timed out. (read timeout=10)
2026-05-19 10:04:23 | WARNING  | main | ⚠️ Tentative 2/3 échouée pour https://books.toscrape.com/catalogue/girlboss_113/index.html. Erreur: HTTPSConnectionPool(host='books.toscrape.com', port=443): Read timed out. (read timeout=10)
2026-05-19 11:53:00 | WARNING  | main | ⚠️ Tentative 1/3 échouée pour https://ce-site-n-existe-absolument-pas-12345.com/page-1.html. Erreur: HTTPSConnectionPool(host='ce-site-n-existe-absolument-pas-12345.com', port=443): Max retries exceeded with url: /page-1.html (Caused by NameResolutionError("HTTPSConnection(host='ce-site-n-existe-absolument-pas-12345.com', port=443): Failed to resolve 'ce-site-n-existe-absolument-pas-12345.com' ([Errno -2] Name or service not known)"))
2026-05-19 11:53:02 | WARNING  | main | ⚠️ Tentative 2/3 échouée pour https://ce-site-n-existe-absolument-pas-12345.com/page-1.html. Erreur: HTTPSConnectionPool(host='ce-site-n-existe-absolument-pas-12345.com', port=443): Max retries exceeded with url: /page-1.html (Caused by NameResolutionError("HTTPSConnection(host='ce-site-n-existe-absolument-pas-12345.com', port=443): Failed to resolve 'ce-site-n-existe-absolument-pas-12345.com' ([Errno -2] Name or service not known)"))
